tl,sex,expr,gil,tubs,date,month
201,I,N,PEC,N,22-Jun-22,6
203,I,N,PEC,U,18-May-22,5
203,I,N,OB,N,25-Jul-22,7
204,I,N,OB,N,23-Jul-22,7
207,M,N,PEC,U,24-May-22,5
207,I,N,PEC,U,26-May-22,5
208,M,N,OB,N,28-Jul-22,7
209,M,N,PEC,U,26-May-22,5
209,I,N,PEC,U,16-Jun-22,6
209,I,N,HYB,N,28-Jul-22,7
210,I,N,PEC,N,23-Jun-22,6
210,I,N,OB,N,29-Jul-22,7
211,I,N,PEC,N,31-Jul-22,7
212,I,N,PEC,N,26-Jun-22,6
213,I,N,PEC,U,18-May-22,5
213,I,N,PEC,N,21-Jun-22,6
213,I,N,PEC,N,21-Jun-22,6
213,I,N,PEC,N,21-Jun-22,6
214,I,N,PEC,U,18-May-22,5
214,I,N,OB,U,24-May-22,5
214,I,N,OB,N,22-Jun-22,6
214,F,N,HYB,N,28-Jul-22,7
215,I,N,PEC,U,18-May-22,5
215,I,N,HYB,N,23-Jul-22,7
215,I,N,PEC,N,31-Jul-22,7
217,I,N,PEC,U,19-May-22,5
217,I,N,PEC,N,26-Jun-22,6
217,F,N,PEC,N,31-Jul-22,7
218,I,N,PEC,U,21-May-22,5
218,I,N,HYB,N,31-Jul-22,7
219,I,N,PEC,U,21-May-22,5
220,I,N,OB,N,23-Jun-22,6
221,M,N,PEC,N,25-Jun-22,6
221,I,N,HYB,N,27-Jun-22,6
221,I,N,OB,N,23-Jul-22,7
221,I,N,PEC,N,27-Jul-22,7
222,I,N,OB,U,18-May-22,5
222,M,N,PEC,U,24-May-22,5
223,M,N,PEC,U,22-May-22,5
223,M,N,PEC,U,22-May-22,5
223,F,N,OB,U,26-May-22,5
223,I,N,PEC,N,31-Jul-22,7
225,I,N,OB,U,24-May-22,5
225,M,N,PEC,N,21-Jun-22,6
225,I,N,PEC,N,27-Jul-22,7
225,I,N,HYB,N,31-Jul-22,7
226,M,N,PEC,U,18-May-22,5
227,I,N,PEC,U,24-May-22,5
227,M,N,HYB,N,28-Jul-22,7
227,M,N,HYB,N,31-Jul-22,7
227,M,N,PEC,N,31-Jul-22,7
228,I,N,OB,U,18-May-22,5
228,I,N,PEC,N,26-Jul-22,7
228,I,N,PEC,N,26-Jul-22,7
228,I,N,OB,N,29-Jul-22,7
229,M,N,PEC,N,26-Jun-22,6
229,I,N,PEC,N,27-Jun-22,6
230,M,N,PEC,U,19-May-22,5
230,M,N,PEC,U,19-May-22,5
231,F,N,PEC,N,21-Jun-22,6
231,F,N,PEC,N,27-Jul-22,7
231,M,N,OB,N,31-Jul-22,7
232,I,N,PEC,N,28-Jun-22,6
232,I,N,HYB,N,31-Jul-22,7
233,M,N,PEC,U,19-May-22,5
235,M,N,PEC,U,4-May-22,5
