expressing,length,month
N,297,5
N,324,5
N,247,5
N,356,5
N,266,5
N,272,5
N,284,5
N,252,5
N,257,5
N,298,5
N,297,5
N,273,5
N,313,5
N,263,5
N,261,5
N,317,5
N,263,5
N,243,5
N,277,5
N,250,5
N,305,5
N,287,5
N,250,5
N,253,5
N,258,5
N,247,5
N,243,5
N,267,5
N,330,5
N,261,5
N,278,5
N,264,5
N,314,5
N,322,5
N,302,5
N,234,5
N,268,5
N,238,5
N,242,5
N,224,5
N,333,5
N,277,5
N,177,5
N,246,5
N,270,5
N,250,5
Y,251,5
N,299,5
N,313,5
N,293,5
N,246,5
N,256,5
N,227,5
Y,272,5
N,294,5
N,316,5
N,262,5
N,302,5
N,275,5
Y,239,5
N,230,5
Y,248,5
N,260,5
N,245,5
N,309,5
Y,231,5
N,230,5
Y,291,5
N,287,5
Y,281,5
Y,287,5
N,293,5
N,320,5
N,252,5
Y,228,5
N,302,5
Y,269,5
N,311,5
N,242,5
Y,230,5
Y,228,5
N,137,5
N,115,5
N,49,5
N,54,5
N,65,5
N,54,5
N,62,5
N,46,5
N,55,5
N,56,5
N,50,5
N,52,5
N,52,5
N,52,5
N,47,5
N,45,5
N,42,5
N,54,5
N,46,5
N,59,5
N,100,5
N,52,5
N,45,5
N,51,5
N,47,5
N,82,5
N,45,5
N,47,5
N,49,6
N,50,7
N,51,7
N,54,7
N,55,7
N,57,6
N,57,7
N,58,7
N,58,7
N,246,5
N,173,5
N,225,5
Y,278,5
N,267,5
Y,262,5
Y,321,5
N,244,5
N,356,5
N,236,5
N,259,5
Y,273,5
Y,298,5
Y,288,5
N,336,5
Y,246,5
Y,330,5
N,251,5
Y,267,5
N,206,5
N,230,5
N,295,5
N,221,5
N,224,5
N,319,5
N,246,5
N,220,5
N,237,5
N,220,5
N,160,5
N,229,5
N,225,5
N,211,5
N,218,5
N,209,5
N,224,5
N,245,5
N,237,5
N,219,5
N,223,5
N,63,6
N,63,7
N,64,6
N,65,7
N,66,7
N,69,6
N,75,7
N,78,7
N,83,7
N,85,5
N,88,7
N,361,5
N,233,5
N,237,5
N,223,5
N,271,5
N,330,5
Y,264,5
N,226,5
